Card Name,Role,Rarity,Price,Owned,Proxy Needed,Edition,Deck
Scryb Ranger,Combo Piece,Uncommon,$1.50,Yes,No,Time Spiral,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
"Multani, Yavimaya's Avatar",Win Condition,Mythic,$0.32,Yes,No,Edge of Eternities,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Stampeding Wildebeests,Combo Piece,Common,$0.25,Yes,No,Visions,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Evolutionary Leap,Combo Piece,Rare,$3.00,Yes,No,Magic Origins,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Arid Archway,Lands,Uncommon,$0.62,Yes,No,Outlaws of Thunder Junction,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Harmonize,Draw,Uncommon,$0.50,Yes,No,Planar Chaos,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Tireless Tracker,Draw,Rare,$2.50,Yes,No,The List,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Chocobo Kick,Interaction,Common,$0.21,Yes,No,Final Fantasy,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Guildless Commons,Lands,Uncommon,$4.20,Yes,No,Commander Masters,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
"Sutina, Speaker of the Tajuru",Utility,Rare,$0.50,Yes,No,Edge of Eternities,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
"Yedora, Grave Gardener",Utility,Uncommon,$0.38,Yes,No,Multiverse Legends,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Fecundity,Draw,Uncommon,$1.50,Yes,No,Urza's Saga,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Quirion Ranger,Combo Piece,Common,$1.00,Yes,No,Visions,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Beast Whisperer,Draw,Rare,$2.50,Yes,No,Murders at Karlov Manor Commander,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Fellwar Stone,Ramp,Uncommon,$0.77,Yes,No,Lorwyn Eclipsed Commander,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Return of the Wildspeaker,Draw,Rare,$1.00,Yes,No,Commander Masters,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Cloudstone Curio,Combo Piece,Mythic,$15.59,No,Yes,,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Garruk's Uprising,Draw,Uncommon,$0.50,Yes,No,Core Set 2021,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Jungle Basin,Lands,Uncommon,$0.60,Yes,No,Commander Legends,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Sol Ring,Ramp,Uncommon,$1.19,Yes,No,Tarkir: Dragonstorm Commander,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Nervous Gardener,Combo Piece,Rare,$0.50,Yes,No,Bloomburrow,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Greenbelt Radical,Utility,Common,$0.25,Yes,No,Modern Horizons 3,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Living Lands,Utility,Rare,$2.00,Yes,No,Limited Edition Alpha,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Den Protector,Combo Piece,Rare,$0.50,Yes,No,Dragons of Tarkir,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Proteus Machine,Combo Piece,Uncommon,$1.00,Yes,No,Onslaught,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Embodiment of Insight,Win Condition,Uncommon,$0.50,Yes,No,Oath of the Gatewatch,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Rogue's Passage,Lands,Common,$0.50,Yes,No,Commander 2014,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Avenger of Zendikar,Win Condition,Mythic,$1.50,Yes,No,Commander Masters,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Ainok Survivalist,Combo Piece,Common,$0.25,Yes,No,Fate Reforged,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Nantuko Vigilante,Combo Piece,Common,$0.50,Yes,No,Onslaught,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Life and Limb,Combo Piece,Rare,$5.00,Yes,No,Time Spiral,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Vengeful Creeper,Utility,Common,$0.25,Yes,No,Innistrad Remastered,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Mosswort Bridge,Lands,Rare,$1.00,Yes,No,Duskmourn: House of Horror Commander,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Forest,Lands,Common,$0.15,Yes,No,Secrets of Strixhaven,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Flourishing Bloom-Kin,Utility,Rare,$0.50,Yes,No,Bloomburrow,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Temur Charger,Combo Piece,Uncommon,$0.50,Yes,No,Khans of Tarkir,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Culvert Ambusher,Utility,Common,$0.20,Yes,No,Edge of Eternities,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Hauntwoods Shrieker,Combo Piece,Common,$0.25,Yes,No,Duskmourn: House of Horror,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Printlifter Ooze,Combo Piece,Common,$0.25,Yes,No,Modern Horizons 3,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Vastwood Zendikon,Utility,Common,$0.25,Yes,No,Worldwake,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Rampaging Baloths,Win Condition,Rare,$0.50,Yes,No,Bloomburrow Commander,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Harrow,Ramp,Common,$0.50,Yes,No,Invasion,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Arcane Signet,Ramp,Common,$0.57,Yes,No,Phyrexia: All Will Be One Commander,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Fyndhorn Elves,Ramp,Common,$2.49,Yes,No,Deckmasters,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Emerald Medallion,Ramp,Rare,$5.00,Yes,No,Commander Masters,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Lightning Greaves,Interaction,Uncommon,$2.00,Yes,No,Commander Masters,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Elvish Mystic,Ramp,Common,$0.91,Yes,No,Commander Masters,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Swiftfoot Boots,Interaction,Uncommon,$1.00,Yes,No,Commander 2014,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Arbor Elf,Ramp,Common,$0.50,Yes,No,Magic 2013,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Lotus Cobra,Ramp,Rare,$6.49,Yes,No,Iconic Masters,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Kazandu Stomper,Win Condition,Common,$0.25,Yes,No,Zendikar Rising,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Heroic Intervention,Interaction,Mythic,$14.37,Yes,No,Core Set 2021,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Cultivate,Ramp,Common,$0.50,Yes,No,Commander Masters,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Llanowar Elves,Ramp,Common,$0.31,Yes,No,Core Set 2019,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Nature's Lore,Ramp,Common,$0.50,Yes,No,Mirage,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Scute Swarm,Win Condition,Rare,$3.50,Yes,No,Zendikar Rising,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Spore Frog,Utility,Common,$2.50,Yes,No,Mercadian Masques,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Explore,Ramp,Common,$0.25,Yes,No,Khans of Tarkir,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Kodama's Reach,Ramp,Common,$0.50,Yes,No,Commander Masters,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Tamiyo's Safekeeping,Interaction,Common,$0.50,Yes,No,Kamigawa: Neon Dynasty,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Tireless Provisioner,Utility,Uncommon,$1.50,Yes,No,Modern Horizons 2,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Cankerbloom,Removal,Uncommon,$0.50,Yes,No,Phyrexia: All Will Be One,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Wild Growth,Ramp,Common,$0.35,Yes,No,Fourth Edition,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Rampant Growth,Ramp,Common,$0.99,Yes,No,Tarkir: Dragonstorm Commander,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Zuran Orb,Combo Piece,Uncommon,$3.99,Yes,No,Modern Horizons 2,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Beast Within,Removal,Uncommon,$0.51,Yes,No,Duskmourn: House of Horror Commander,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Kenrith's Transformation,Removal,Uncommon,$0.50,Yes,No,Throne of Eldraine,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
"Nissa, Who Shakes the World",Win Condition,Rare,$4.00,Yes,No,War of the Spark,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Deathmist Raptor,Combo Piece,Mythic,$0.50,Yes,No,Dragons of Tarkir,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Blasting Station,Win Condition,Uncommon,$8.35,No,Yes,,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Sakura-Tribe Elder,Ramp,Common,$0.79,Yes,No,Duskmourn: House of Horror Commander,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Eternal Witness,Recursion,Uncommon,$1.24,Yes,No,Starter Commander Decks,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)
Ashnod's Altar,Combo Piece,Uncommon,$3.00,Yes,No,Modern Horizons 3 Commander,Yedora the Explorer (Yedora%20the%20Explorer%20379287ec439981e38321cf3fb0d0e1a1.md)